Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
CatBoost optimizat,0.9413333333333334,0.9795918367346939,0.8275862068965517,0.897196261682243,0.9126614299028092
Explainable Boosting Machine optimizat,0.9306666666666666,0.9591836734693877,0.8103448275862069,0.8785046728971962,0.9126281453867661
XGBoost optimizat,0.928,0.9494949494949495,0.8103448275862069,0.8744186046511628,0.9107974970043936
Random Forest optimizat,0.928,0.9587628865979382,0.8017241379310345,0.8732394366197183,0.9127612834509387
Decision Tree optimizat,0.8986666666666666,0.9239130434782609,0.7327586206896551,0.8173076923076923,0.8667121555052589
