Model,MSE,MAE,RMSE,R2
Random Forest Regressor optimizat,0.3729564629616263,0.4490934805167131,0.6107016153258695,0.41182109551588264
CatBoost Regressor optimizat,0.38890543684571965,0.47976369597633434,0.6236228322036643,0.3866684277961735
XGBoost Regressor optimizat,0.3981199019697111,0.4851424955937662,0.6309674333669775,0.37213656003070184
Explainable Boosting Regressor optimizat,0.41546673111201565,0.5107928679793041,0.6445670881390204,0.34477937501191414
Linear Regression optimizat,0.4506044001597376,0.527262833360457,0.6712707353666906,0.2893647683779462
